player,player_id,team,opponent,round,kicks,marks,handballs,disp,goals,behinds,hit_outs,tackles,rebounds,inside_50,clearances,clangers,frees_for,frees_against,brownlow,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,pct_time_played,year,game_id,game_type,day,home_team,away_team,venue,home_goals,home_behinds,home_total,away_goals,away_behinds,away_total,date,home_team_code,away_team_code,margin,past_votes,disposals,disposals_per_time,goals_x_clearances,contested_possessions_x_tackles,clangers_x_frees_against,marks_inside_50_x_contested_marks,goal_assists_x_inside_50,clearance_efficiency,tackles_clangers_ratio,score_involvement,margin_x_past_votes,rebounds_x_one_percenters,vote_probability,adjusted_round
JAMES ROWBOTTOM,12714,SY,CA,1,11,1,9,20,1,0,0,9,4,3,7,3,2,2,0,12,9,0,0,1,0,0,77,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,0.4772727272727273,0,20,0.2597402597402597,7,108,6,0,0,0.5833333333333334,3.0,1,0.0,4,0.5159189,0
JAI SERONG,13022,SY,CA,1,10,2,9,19,0,0,0,5,2,3,2,4,1,1,0,5,13,0,0,4,0,1,84,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,0.4772727272727273,0,19,0.2261904761904762,0,25,4,0,3,0.4,1.25,1,0.0,8,0.06376663,0
ANGUS SHELDRICK,12951,SY,CA,1,13,1,10,23,1,0,0,1,2,6,3,5,1,1,0,6,15,0,0,1,0,0,56,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,0.4772727272727273,0,23,0.4107142857142857,3,6,5,0,0,0.5,0.2,1,0.0,2,0.115799405,0
CHAD WARNER,12797,SY,CA,1,16,3,4,20,1,3,0,2,1,8,4,2,0,2,0,9,12,0,1,1,6,1,83,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,0.4772727272727273,0,20,0.24096385542168675,4,18,4,0,8,0.4444444444444444,1.0,2,0.0,1,0.40676007,0
SAM WICKS,12818,SY,CA,1,5,3,4,9,0,0,0,2,2,2,1,3,0,1,0,2,7,0,0,0,3,0,84,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,0.4772727272727273,0,9,0.10714285714285714,0,4,3,0,0,0.5,0.6666666666666666,0,0.0,0,0.024738446,0
BEN AINSWORTH,12498,CA,SY,1,7,3,7,14,2,0,0,1,0,3,1,2,0,0,0,3,11,0,0,1,0,1,74,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,14,0.1891891891891892,2,3,0,0,3,0.3333333333333333,0.5,3,-0.0,0,0.028845537,0
CAMPBELL CHESSER,13039,CA,SY,1,8,5,9,17,0,0,0,2,2,0,0,3,1,2,0,5,12,0,0,0,0,0,75,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,17,0.22666666666666666,0,10,6,0,0,0.0,0.6666666666666666,0,-0.0,0,0.025981028,0
PATRICK CRIPPS,12261,CA,SY,1,8,2,11,19,0,1,0,3,0,2,4,4,1,3,0,10,9,0,0,2,0,0,80,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,19,0.2375,0,30,12,0,0,0.4,0.75,0,-0.0,0,0.03176295,0
HARRY DEAN,13273,CA,SY,1,7,1,7,14,0,0,0,2,4,1,0,2,2,0,0,7,8,0,0,7,0,0,80,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,14,0.175,0,14,0,0,0,0.0,1.0,0,-0.0,28,0.028714724,0
OLIVER FLORENT,12497,CA,SY,1,16,7,6,22,0,0,0,1,5,2,2,1,0,0,0,9,11,1,0,0,0,0,84,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,22,0.2619047619047619,0,9,0,0,0,0.2222222222222222,1.0,0,-0.0,0,0.03963242,0
LACHIE FOGARTY,12596,CA,SY,1,5,1,9,14,0,0,0,0,1,0,0,1,0,0,0,7,8,0,0,3,0,0,66,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,14,0.21212121212121213,0,0,0,0,0,0.0,0.0,0,-0.0,3,0.022670181,0
WILL HAYWARD,12509,CA,SY,1,9,3,2,11,1,2,0,3,0,1,0,2,1,1,0,3,8,0,1,0,0,0,75,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,11,0.14666666666666667,0,9,2,0,0,0.0,1.5,1,-0.0,0,0.02372303,0
GEORGE HEWETT,12411,CA,SY,1,9,2,10,19,0,0,0,6,1,1,2,5,1,1,0,7,13,1,0,3,0,0,65,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,19,0.2923076923076923,0,42,5,0,0,0.2857142857142857,1.2,0,-0.0,3,0.03141696,0
ELIJAH HOLLANDS,13016,CA,SY,1,12,1,7,19,1,0,0,1,2,3,0,6,3,1,0,8,11,0,0,2,0,1,79,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,19,0.24050632911392406,0,8,6,0,3,0.0,0.16666666666666666,2,-0.0,4,0.031640887,0
OLIVER HOLLANDS,13029,CA,SY,1,12,4,6,18,0,0,0,2,4,4,3,3,1,0,0,6,10,0,0,1,0,2,82,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,18,0.21951219512195122,0,12,0,0,8,0.5,0.6666666666666666,2,-0.0,4,0.027653236,0
BRODIE KEMP,12937,CA,SY,1,8,3,7,15,1,1,0,1,0,2,0,5,1,1,0,6,10,2,1,1,0,0,92,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,15,0.16304347826086957,0,6,5,2,0,0.0,0.2,1,-0.0,0,0.029639013,0
COOPER LORD,13170,CA,SY,1,11,3,15,26,0,1,0,0,3,7,1,2,3,0,0,7,20,0,0,2,0,1,74,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,26,0.35135135135135137,0,0,0,0,7,0.14285714285714285,0.0,1,-0.0,6,0.062775545,0
MITCH MCGOVERN,12404,CA,SY,1,12,5,4,16,0,0,0,0,5,2,0,3,0,0,0,3,10,0,0,7,2,0,79,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,16,0.20253164556962025,0,0,0,0,0,0.0,0.0,0,-0.0,35,0.028752044,0
HARRY MCKAY,12566,CA,SY,1,10,5,3,13,1,0,0,0,0,3,0,5,1,3,0,7,6,2,0,3,0,0,96,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,13,0.13541666666666666,0,0,15,0,0,0.0,0.0,1,-0.0,0,0.03028702,0
ASHTON MOIR,13171,CA,SY,1,7,3,3,10,1,0,0,4,0,0,2,0,1,0,0,3,5,0,1,0,0,0,78,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,10,0.1282051282051282,2,12,0,0,0,0.6666666666666666,4.0,1,-0.0,0,0.024608584,0
MARC PITTONET,12417,CA,SY,1,8,3,10,18,3,0,17,2,1,1,8,3,2,2,0,12,6,1,1,1,0,0,67,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,18,0.26865671641791045,24,24,6,1,0,0.6666666666666666,0.6666666666666666,3,-0.0,1,0.11633171,0
LIAM REIDY,13172,CA,SY,1,3,1,2,5,0,1,17,2,0,1,1,1,1,1,0,4,0,1,1,2,0,0,61,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,5,0.08196721311475409,0,8,1,1,0,0.25,2.0,0,-0.0,0,0.022274282,0
ADAM SAAD,12330,CA,SY,1,5,1,6,11,0,0,0,0,5,0,0,0,0,0,0,5,3,0,0,5,10,0,64,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,11,0.171875,0,0,0,0,0,0.0,0.0,0,-0.0,25,0.028189657,0
JAGGA SMITH,13274,CA,SY,1,11,3,16,27,0,0,0,2,1,4,3,4,0,0,0,5,21,0,0,1,3,0,79,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,27,0.34177215189873417,0,10,0,0,0,0.6,0.5,0,-0.0,1,0.06979926,0
SAM WALSH,12684,CA,SY,1,16,3,16,32,0,0,0,2,0,9,6,4,2,0,0,13,20,0,0,3,1,0,77,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,32,0.4155844155844156,0,26,0,0,0,0.46153846153846156,0.5,0,-0.0,0,0.27876502,0
JACOB WEITERING,12402,CA,SY,1,12,5,3,15,0,0,0,0,4,1,0,1,1,0,0,4,9,0,0,5,0,0,95,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,15,0.15789473684210525,0,0,0,0,0,0.0,0.0,0,-0.0,20,0.03386321,0
ZAC WILLIAMS,12175,CA,SY,1,10,1,6,16,0,1,0,3,4,3,6,3,1,3,0,12,7,0,0,3,1,0,79,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,16,0.20253164556962025,0,36,9,0,0,0.5,1.0,0,-0.0,12,0.03325902,0
LEWIS YOUNG,12559,CA,SY,1,6,4,5,11,0,0,0,1,4,0,0,3,0,1,0,5,6,0,0,11,0,0,100,2026,16839.0,HA,Thursday,SYDNEY,CARLTON,S.C.G.,20.0,12.0,132.0,10.0,9.0,69.0,2026-03-05,SY,CA,-0.4772727272727273,0,11,0.11,0,5,3,0,0,0.0,0.3333333333333333,0,-0.0,44,0.025796857,0
OSCAR ADAMS,13251,GC,GE,1,3,1,9,12,0,0,0,3,1,1,0,0,2,0,0,7,6,0,0,2,0,0,71,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,12,0.16901408450704225,0,21,0,0,0,0.0,3.0,0,0.0,2,0.030556578,0
NOAH ANDERSON,12767,GC,GE,1,17,5,7,24,1,4,0,3,2,10,6,3,1,1,0,12,14,0,1,3,1,1,84,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,24,0.2857142857142857,6,36,3,0,10,0.5,1.0,2,0.0,6,0.76752454,0
MAC ANDREW,13019,GC,GE,1,9,5,17,26,0,0,0,1,5,3,2,4,1,1,0,8,18,0,0,2,0,0,84,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,26,0.30952380952380953,0,8,4,0,0,0.25,0.25,0,0.0,10,0.16461526,0
SAM CLOHESY,13119,GC,GE,1,10,5,9,19,0,0,0,1,1,4,0,2,0,1,0,5,14,0,0,1,0,0,79,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,19,0.24050632911392406,0,5,2,0,0,0.0,0.5,0,0.0,1,0.055692747,0
SAM COLLINS,12444,GC,GE,1,5,8,12,17,0,0,0,1,1,0,0,2,0,1,0,7,10,2,0,10,0,0,88,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,17,0.19318181818181818,0,7,2,0,0,0.0,0.5,0,0.0,10,0.047282677,0
ALEX DAVIES,12942,GC,GE,1,5,0,12,17,0,0,0,8,2,3,4,6,1,4,0,14,6,0,0,1,0,0,59,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,17,0.288135593220339,0,112,24,0,0,0.2857142857142857,1.3333333333333333,0,0.0,2,0.094494835,0
JY FARRAR,12848,GC,GE,1,1,0,4,5,0,0,0,4,0,0,0,1,1,0,0,3,2,0,0,2,0,1,66,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,5,0.07575757575757576,0,12,0,0,0,0.0,4.0,1,0.0,0,0.023848841,0
WILL GRAHAM,13120,GC,GE,1,5,4,3,8,0,1,0,4,0,2,2,4,1,3,0,4,4,0,4,0,1,2,62,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,8,0.12903225806451613,0,16,12,0,4,0.5,1.0,2,0.0,0,0.025918892,0
BAILEY HUMPHREY,13049,GC,GE,1,11,4,4,15,4,2,0,3,1,2,1,5,1,2,0,6,9,0,3,1,0,1,77,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,15,0.19480519480519481,4,18,10,0,2,0.16666666666666666,0.6,5,0.0,1,0.8953362,0
JOEL JEFFREY,12933,GC,GE,1,16,5,6,22,0,0,0,2,6,4,0,2,0,1,0,4,15,0,0,2,0,1,80,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,22,0.275,0,8,2,0,4,0.0,1.0,1,0.0,12,0.11175461,0
BEN KING,12728,GC,GE,1,4,2,1,5,4,0,0,0,0,0,0,3,1,2,0,3,3,0,2,0,0,0,96,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,5,0.052083333333333336,0,0,6,0,0,0.0,0.0,4,0.0,0,0.1843967,0
LEO LOMBARD,13232,GC,GE,1,9,4,6,15,2,2,0,4,0,5,0,4,0,2,0,4,11,0,2,2,2,1,80,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,15,0.1875,0,16,8,0,5,0.0,1.0,3,0.0,0,0.07090881,0
BEN LONG,12521,GC,GE,1,7,1,7,14,2,0,0,5,0,1,0,5,0,0,0,7,7,0,0,3,0,1,83,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,14,0.1686746987951807,0,35,0,0,1,0.0,1.0,3,0.0,0,0.04949378,0
TOUK MILLER,12331,GC,GE,1,10,3,20,30,1,0,0,6,2,3,4,2,0,0,0,11,18,0,0,0,0,0,77,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,30,0.38961038961038963,4,66,0,0,0,0.36363636363636365,3.0,1,0.0,0,0.7120142,0
JOHN NOBLE,12743,GC,GE,1,17,6,11,28,2,0,0,3,6,2,0,2,0,0,0,2,23,0,0,2,1,0,83,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,28,0.3373493975903614,0,6,0,0,0,0.0,1.5,2,0.0,12,0.7682945,0
CHRISTIAN PETRACCA,12430,GC,GE,1,15,5,19,34,3,0,0,2,0,10,6,3,0,1,0,15,18,1,0,1,1,1,77,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,34,0.44155844155844154,18,30,3,0,10,0.4,0.6666666666666666,4,0.0,0,0.92315894,0
WIL POWELL,12652,GC,GE,1,10,2,9,19,0,0,0,5,1,3,2,3,1,2,0,5,14,0,0,1,1,1,79,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,19,0.24050632911392406,0,25,6,0,3,0.4,1.6666666666666667,1,0.0,1,0.060588453,0
ETHAN READ,13121,GC,GE,1,8,3,6,14,0,1,6,4,0,1,0,6,0,2,0,3,9,1,1,1,0,2,78,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,14,0.1794871794871795,0,12,12,1,2,0.0,0.6666666666666666,2,0.0,0,0.043152057,0
DANIEL RIOLI,12403,GC,GE,1,15,4,9,24,0,1,0,3,3,5,3,3,2,0,0,6,18,0,0,5,5,1,84,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,24,0.2857142857142857,0,18,0,0,5,0.5,1.0,1,0.0,15,0.40018165,0
BODHI UWLAND,13041,GC,GE,1,10,3,9,19,0,0,0,2,6,1,1,5,1,3,0,3,12,0,0,5,0,1,89,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,19,0.21348314606741572,0,6,15,0,1,0.3333333333333333,0.4,1,0.0,30,0.07465147,0
ZEKE UWLAND,13278,GC,GE,1,10,1,6,16,0,0,0,1,0,5,0,7,2,3,0,4,12,0,0,0,1,0,62,2026,16840.0,HA,Friday,GOLD COAST,GEELONG,Carrara,19.0,11.0,125.0,10.0,9.0,69.0,2026-03-06,GC,GE,0.448,0,16,0.25806451612903225,0,4,21,0,0,0.0,0.14285714285714285,0,0.0,0,0.06260106,0
